ponto,veic,situacao,tipo
543,"CHEV/CLASSIC LS","Regular","1"
544,"CHEV/CLASSIC","Regular","1"
545,"CHE ONIX","Regular","1"
546,"CHERY QQ 1.0","Regular","1"
547,"FORD/KA","Regular","1"
548,"TOYOTA CROSS XR","Regular","1"
549,"CHERY/ TIGGO","Regular","1"
550,"COROLLA CROSS","Regular","1"
551,"FORD/KA","Regular","1"
552,"VW/T CROSS TSI","Regular","1"
553,"FIAT/SIENA","Irregular","1"
554,"CHEV/SPIN","Regular","1"
555,"VW/CROSS","Regular","1"
556,"TOY COROLLA XEI","Regular","1"
557,"CHERY/TIGGO","Irregular","1"
558,"NISSAN/KCS","Regular","1"
559,"FIAT/SIENA","Regular","1"
560,"KCS K16","Regular","1"
561,"TOYOTA/YARIS SA","Regular","1"
562,"CHEV/SPIN","Regular","1"
563,"NISSAN/KCS","Regular","1"
564,"FIAT SIENA","Regular","1"
565,"FIAT SIENA","Irregular","1"
566,"FORD/KA","Regular","1"
567,"VW/VIRTUS","Regular","1"
568,"TOYOTA/COROLLA","Regular","1"
569,"VW VOYAGE","Regular","1"
570,"VW/VOYAGE","Regular","1"
571,"CLASSIC LS","Irregular","1"
572,"FIAT/PULSE","Regular","1"
573,"TOYOTA/YARIS HA","Regular","1"
574,"VW NOVO FOX","Regular","1"
575,"CHEV/CELTA","Regular","1"
576,"CHEV/TRACKER","Regular","1"
577,"CHEV/TRACKER","Regular","1"
578,"VW/ POLO SENSE","Regular","1"
579,"VW VOYAGE","Regular","1"
580,"VW/NIVUS","Regular","1"
581,"","Irregular","1"
582,"VW/VIRTUS","Irregular","1"
583,"LOGAN","Regular","1"
584,"RENAULT/LOGAN","Irregular","1"
585,"HONDA CITY","Regular","1"
586,"GM/PRISMA","Regular","1"
587,"GM/CLASSIC","Irregular","1"
588,"CHEV/COBLAT","Regular","1"
589,"CHEV/CLASSIC","Irregular","1"
590,"VW/POLO","Regular","1"
591,"RENAULT/LOGAN","Regular","1"
592,"VW/ POLO SENSE","Irregular","1"
593,"VW/NIVUS","Regular","1"
594,"CHEV/SPIN","Regular","1"
595,"TOYOTA/COROLLA","Regular","1"
596,"CHEV/ONIX PLUS","Regular","1"
597,"VW/VIRTUS","Regular","1"
598,"FIAT SIENA","Regular","1"
599,"HYUNDAI/CRETA","Regular","1"
600,"CHEV/SPIN","Regular","1"
601,"TOYOTA/COROLLA","Regular","1"
602,"FIAT/PULSE","Regular","1"
603,"CHEV/SPIN 1.8","Regular","1"
604,"FIAT CRONOS","Regular","1"
605,"I/FIAT CRONOS","Regular","1"
606,"TOYTA/YARIS","Regular","1"
607,"RENOLUT/LOGAN","Regular","1"
608,"CHEV/ONIX PLUS","Regular","1"
609,"CHEV COBALT","Regular","1"
610,"VW VOYAGE","Regular","1"
611,"TOYOTA/YARIS SD","Regular","1"
612,"CHEVROLET/; COB","Regular","1"
613,"","Irregular","1"
614,"FORD/ KA","Regular","1"
615,"GM/CLASSIC LS","Regular","1"
616,"VW/VIRTUS SENSE","Regular","1"
617,"TOYOTA/ETIOS","Regular","1"
618,"CHEV/COBALT 1.8","Regular","1"
619,"FIAT/SIENA","Regular","1"
620,"CHEV / COBALT","Regular","1"
621,"FORD/KA","Regular","1"
622,"CHEV/CLASSIC","Regular","1"
623,"NISSAN/MARCH","Regular","1"
624,"TOYOTA/CROSS","Regular","1"
625,"VW/VIRTUS","Regular","1"
626,"FIAT/CRONOS","Regular","1"
627,"FIAT/DOBLO","Regular","1"
628,"CHEV/SPIN","Regular","1"
629,"CHEV/SPIN","Regular","1"
630,"FIAT/SIENA","Regular","1"
631,"","Irregular","1"
632,"VW/VIRTUS","Regular","1"
633,"ETIOS SD XLS1,5","Regular","1"
634,"CHEV/SPIN 1.8","Regular","1"
635,"FIAT DOBLO","Regular","1"
636,"FIAT/ FASTBACK","Regular","1"
637,"SPIN","Irregular","1"
638,"CHEV/TRACKER","Regular","1"
639,"FIAT CRONOS","Irregular","1"
640,"CHEV/SPIN 1.8","Regular","1"
641,"VW/ VOYAGE","Regular","1"
642,"CHEV/SPIN","Regular","1"
643,"TOYOTA","Regular","1"
644,"CHEV/ONIX PLUS","Regular","1"
645,"FIAT/SIENA","Regular","1"
646,"GM/COBALT","Regular","1"
647,"CHEV PRISMA","Regular","1"
648,"FIAT/DOBLO","Regular","1"
649,"NISSAN KICKS","Regular","1"
650,"RENAULT / LOGAN","Regular","1"
651,"VW/VIRTUS SENSE","Regular","1"
652,"HB20 HYUNDAI","Regular","1"
653,"CHEV PRISMA","Regular","1"
654,"CHEV/PRISMA","Regular","1"
655,"DOBLO ESSENCE","Regular","1"
656,"CHEV/CLASSIC","Irregular","1"
657,"CHEV COBALT","Regular","1"
658,"FORD/ FIETA","Regular","1"
659,"CHEV CLASSIC","Irregular","1"
660,"CHEV SPIN","Regular","1"
661,"GM/COBALT","Irregular","1"
662,"TOYOTA/CCROSS","Regular","1"
663,"FIAT SIENA","Irregular","1"
664,"CHEV/ONIX","Regular","1"
665,"FIAT \ IDEA","Regular","1"
666,"CHEV/SPIN","Regular","1"
667,"RENAULT/ DUSTER","Regular","1"
668,"CHEV/CLASSIC","Regular","1"
669,"FORD/KA SE 1.5","Regular","1"
670,"VW/VIRTUS MB","Regular","1"
671,"ONIX PLUS","Regular","1"
672,"VW/GOL","Regular","1"
673,"FORD/KA","Regular","1"
674,"FORD KA","Regular","1"
675,"FIATPALIO WEEK","Regular","1"
676,"CHEV/ ONIX PLUS","Regular","1"
677,"CHEV/TRACKER","Regular","1"
678,"HYUNDAY/HB20","Regular","1"
